What was the primary cause of the widespread Snowflake data breach in April 2026?,The absence of Multi-Factor Authentication (MFA) on compromised accounts.
What is 'Bottom-Up' role mining?,Defining roles based on the analysis of existing permissions currently assigned to users in the system.
What is 'Top-Down' role engineering?,Defining roles based on business job functions and requirements before mapping them to technical permissions.
What is the 'Collect' phase of the IAM Product Selection Framework?,The stage of conducting due diligence and gathering requirements to form evaluation criteria.
"In the future of IAM, why is 'Privacy' described as harder to protect than in the past?","Large-scale data correlation makes it easy to assemble complete personal profiles from small, shared facts."
What is the primary benefit of 'Federated Authentication' protocols like OAuth and SAML?,They provide a light-weight approach to solving authentication across corporate and cloud environments.
What is 'Identity Vetting'?,The process of verifying that an individual is who they claim to be before issuing them a high-quality credential.
What is an 'Identity Provider' in the context of an identity ecosystem?,An entity responsible for strongly authenticating a person and granting access to services on their behalf.
What is 'Static' access decision-making?,Authorisation that is granted at the time of provisioning and remains unchanged regardless of the request context.
How can 'GPS Services' on a smartphone enhance authentication security?,By making access decisions based on the physical location of the person requesting the service.
What is the primary risk of using 'Weak Passwords' for sensitive accounts?,They are easily compromised through phishing attacks or malware on the user's device.
